,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,ovre ardal,61.32,7.8,66.2,48.0,40.0,4.7,NO,1594827805.0
2,kapaa,22.08,-159.32,78.8,83.0,90.0,14.99,US,1594827571.0
3,tagusao,9.19,117.81,81.0,78.0,8.0,4.34,PH,1594827805.0
4,longyearbyen,78.22,15.64,48.2,61.0,75.0,5.82,SJ,1594827805.0
5,moindou,-21.69,165.68,68.0,82.0,90.0,6.93,NC,1594827805.0
6,urucara,-2.54,-57.76,94.23,39.0,0.0,4.36,BR,1594827805.0
7,ponta do sol,32.67,-17.1,75.0,61.0,4.0,6.04,PT,1594827805.0
8,vaini,-21.2,-175.2,73.4,78.0,40.0,6.93,TO,1594827805.0
9,hobart,-42.88,147.33,45.0,93.0,90.0,4.7,AU,1594827625.0
10,meulaboh,4.14,96.13,79.99,81.0,94.0,2.75,ID,1594827805.0
11,rikitea,-23.12,-134.97,74.21,83.0,100.0,14.92,PF,1594827805.0
13,busselton,-33.65,115.33,55.99,84.0,53.0,18.75,AU,1594827805.0
14,mar del plata,-38.0,-57.56,50.0,55.0,0.0,4.7,AR,1594827584.0
15,iqaluit,63.75,-68.51,57.2,62.0,20.0,4.7,CA,1594827805.0
16,albany,42.6,-73.97,75.99,71.0,91.0,0.43,US,1594827805.0
17,samana,19.21,-69.34,82.4,83.0,75.0,4.7,DO,1594827806.0
18,jalu,29.03,21.55,98.53,15.0,0.0,12.77,LY,1594827806.0
19,hermanus,-34.42,19.23,59.0,61.0,0.0,3.13,ZA,1594827806.0
20,yarim,14.3,44.38,62.38,77.0,100.0,7.31,YE,1594827806.0
21,lompoc,34.64,-120.46,57.2,87.0,57.0,4.29,US,1594827806.0
23,hami,42.8,93.45,84.6,16.0,62.0,18.21,CN,1594827806.0
24,codrington,-38.27,141.97,40.73,92.0,0.0,4.63,AU,1594827806.0
25,ola,59.58,151.28,53.74,92.0,70.0,2.08,RU,1594827806.0
26,juquia,-24.32,-47.63,66.85,64.0,98.0,4.07,BR,1594827806.0
29,atikokan,48.76,-91.62,77.32,37.0,0.0,15.17,CA,1594827806.0
30,jamestown,42.1,-79.24,78.01,60.0,1.0,8.05,US,1594827586.0
31,van,38.49,43.38,75.2,53.0,20.0,5.82,TR,1594827806.0
32,dikson,73.51,80.55,41.02,91.0,99.0,11.99,RU,1594827806.0
34,soe,-9.86,124.28,60.98,100.0,76.0,4.56,ID,1594827734.0
35,lebu,-37.62,-73.65,55.71,72.0,66.0,1.72,CL,1594827807.0
36,deputatskiy,69.3,139.9,35.35,84.0,31.0,10.22,RU,1594827807.0
37,jumla,29.27,82.18,63.59,72.0,55.0,0.98,NP,1594827807.0
39,bethel,41.37,-73.41,73.0,73.0,90.0,3.18,US,1594827710.0
40,ushuaia,-54.8,-68.3,30.2,92.0,40.0,2.24,AR,1594827797.0
41,srednekolymsk,67.45,153.68,38.17,76.0,56.0,3.02,RU,1594827807.0
42,port augusta,-32.5,137.77,42.8,81.0,0.0,5.82,AU,1594827667.0
43,bose,45.46,8.01,77.0,79.0,69.0,3.4,IT,1594827807.0
45,bandarbeyla,9.49,50.81,81.03,68.0,100.0,33.15,SO,1594827807.0
46,bambous virieux,-20.34,57.76,73.4,64.0,40.0,11.41,MU,1594827710.0
47,braco do norte,-28.27,-49.17,62.6,43.0,0.0,2.46,BR,1594827807.0
49,goundi,9.36,17.37,82.02,71.0,37.0,2.17,TD,1594827807.0
50,arlit,18.74,7.39,102.6,16.0,0.0,6.98,NE,1594827807.0
51,hilo,19.73,-155.09,73.4,83.0,40.0,4.7,US,1594827807.0
52,atuona,-9.8,-139.03,79.32,75.0,3.0,18.14,PF,1594827807.0
53,shagonar,51.53,92.8,59.2,58.0,59.0,2.46,RU,1594827807.0
55,yellowknife,62.46,-114.35,55.4,82.0,75.0,11.41,CA,1594827649.0
56,butaritari,3.07,172.79,81.88,76.0,97.0,11.9,KI,1594827708.0
57,bredasdorp,-34.53,20.04,64.4,42.0,1.0,2.24,ZA,1594827707.0
58,punta arenas,-53.15,-70.92,32.0,84.0,75.0,6.93,CL,1594827808.0
60,cape town,-33.93,18.42,62.6,36.0,0.0,1.12,ZA,1594827550.0
61,mataura,-46.19,168.86,39.0,83.0,21.0,3.0,NZ,1594827607.0
62,geraldton,-28.77,114.6,53.6,93.0,51.0,11.41,AU,1594827808.0
63,caravelas,-17.71,-39.25,80.26,62.0,1.0,6.42,BR,1594827728.0
64,bluff,-46.6,168.33,39.0,83.0,12.0,3.0,NZ,1594827808.0
65,port alfred,-33.59,26.89,56.57,44.0,14.0,2.95,ZA,1594827808.0
66,nikolskoye,59.7,30.79,63.0,48.0,100.0,6.71,RU,1594827808.0
67,la libertad,-2.23,-80.9,69.73,82.0,100.0,8.59,EC,1594827808.0
68,pevek,69.7,170.31,45.12,90.0,100.0,3.06,RU,1594827727.0
69,araouane,18.9,-3.53,103.73,22.0,99.0,7.85,ML,1594827808.0
70,port-gentil,-0.72,8.78,80.6,69.0,40.0,9.04,GA,1594827551.0
72,kachug,53.96,105.88,60.26,88.0,100.0,9.17,RU,1594827808.0
73,san cristobal,7.77,-72.22,86.0,55.0,40.0,4.7,VE,1594827808.0
74,saint-philippe,-21.36,55.77,73.4,78.0,44.0,3.36,RE,1594827608.0
75,saurimo,-9.66,20.39,79.88,16.0,12.0,5.14,AO,1594827809.0
76,esperance,-33.87,121.9,53.55,65.0,0.0,10.58,AU,1594827704.0
77,zaysan,47.47,84.87,70.07,51.0,1.0,9.62,KZ,1594827760.0
78,marau,-28.45,-52.2,56.5,59.0,0.0,4.59,BR,1594827809.0
79,barrow,71.29,-156.79,35.6,93.0,75.0,9.17,US,1594827703.0
80,coruripe,-10.13,-36.18,80.96,69.0,26.0,8.84,BR,1594827809.0
81,katsuura,35.13,140.3,66.0,100.0,75.0,14.99,JP,1594827809.0
83,east london,-33.02,27.91,59.23,50.0,3.0,4.36,ZA,1594827609.0
84,ixtapa,20.7,-105.2,88.0,70.0,5.0,2.64,MX,1594827809.0
85,bafq,31.61,55.41,91.98,15.0,34.0,10.98,IR,1594827809.0
86,sitka,57.05,-135.33,53.6,93.0,90.0,6.93,US,1594827759.0
87,tura,25.52,90.22,75.88,95.0,89.0,5.95,IN,1594827809.0
88,boa viagem,-5.13,-39.73,89.65,38.0,1.0,7.72,BR,1594827809.0
89,hithadhoo,-0.6,73.08,84.51,72.0,90.0,6.73,MV,1594827809.0
90,khatanga,71.97,102.5,58.95,63.0,100.0,12.03,RU,1594827809.0
91,labuhan,-6.88,112.21,78.22,84.0,48.0,6.91,ID,1594827809.0
92,laguna,38.42,-121.42,66.0,72.0,1.0,5.82,US,1594827809.0
93,margate,51.38,1.39,64.99,65.0,97.0,1.99,GB,1594827735.0
94,leningradskiy,69.38,178.42,40.41,89.0,100.0,9.33,RU,1594827810.0
95,qaanaaq,77.48,-69.36,40.86,85.0,100.0,9.26,GL,1594827810.0
97,coahuayana,18.73,-103.68,77.0,83.0,75.0,0.78,MX,1594827810.0
98,aripuana,-9.17,-60.63,94.05,25.0,0.0,5.79,BR,1594827810.0
99,ponta delgada,37.73,-25.67,71.6,78.0,75.0,10.29,PT,1594827810.0
100,tahe,52.33,124.73,64.11,90.0,32.0,3.27,CN,1594827810.0
101,bengkulu,-3.8,102.27,78.01,81.0,100.0,3.8,ID,1594827810.0
102,yulara,-25.24,130.99,44.6,39.0,0.0,6.93,AU,1594827810.0
103,katobu,-4.94,122.53,72.79,92.0,6.0,2.37,ID,1594827810.0
104,hobyo,5.35,48.53,80.49,72.0,93.0,30.56,SO,1594827810.0
105,upernavik,72.79,-56.15,43.0,86.0,84.0,3.89,GL,1594827810.0
106,torbay,47.67,-52.73,50.0,100.0,90.0,18.34,CA,1594827810.0
107,nuuk,64.18,-51.72,50.0,71.0,20.0,3.36,GL,1594827657.0
108,dingle,11.0,122.67,76.15,90.0,100.0,6.13,PH,1594827811.0
109,nanticoke,41.21,-76.0,82.99,61.0,1.0,1.99,US,1594827811.0
110,georgetown,5.41,100.34,82.4,88.0,20.0,3.36,MY,1594827698.0
111,watertown,42.37,-71.18,72.0,77.0,90.0,4.7,US,1594827653.0
112,xining,36.62,101.77,60.75,78.0,100.0,6.46,CN,1594827811.0
113,karachi,24.91,67.08,89.6,66.0,1.0,11.41,PK,1594827663.0
114,bac lieu,9.29,105.72,80.47,86.0,100.0,1.43,VN,1594827699.0
115,te anau,-45.42,167.72,30.92,97.0,83.0,0.94,NZ,1594827752.0
116,kruisfontein,-34.0,24.73,45.81,62.0,5.0,1.86,ZA,1594827811.0
117,lyuban,52.8,28.0,64.51,71.0,100.0,6.42,BY,1594827811.0
118,guipos,7.72,123.32,74.34,92.0,100.0,3.83,PH,1594827811.0
119,changping,40.22,116.22,89.01,65.0,0.0,2.24,CN,1594827811.0
120,emba,48.83,58.14,91.06,20.0,0.0,9.89,KZ,1594827811.0
121,taltal,-25.4,-70.48,62.83,53.0,0.0,4.99,CL,1594827811.0
122,alofi,-19.06,-169.92,71.6,78.0,100.0,8.05,NU,1594827811.0
123,rosetta,31.4,30.42,78.58,76.0,0.0,17.63,EG,1594827811.0
124,zyryanka,65.75,150.85,45.9,57.0,67.0,9.4,RU,1594827811.0
125,kodiak,57.79,-152.41,60.8,59.0,1.0,9.17,US,1594827701.0
126,lagoa,39.05,-27.98,69.1,81.0,45.0,10.71,PT,1594827811.0
127,half moon bay,37.46,-122.43,64.0,82.0,90.0,4.7,US,1594827811.0
128,faya,18.39,42.45,84.2,39.0,40.0,6.93,SA,1594827812.0
129,carbonia,39.17,8.52,89.6,40.0,20.0,14.99,IT,1594827812.0
130,batticaloa,7.71,81.69,84.88,70.0,99.0,2.51,LK,1594827812.0
131,ouahigouya,13.58,-2.42,83.16,60.0,100.0,6.4,BF,1594827812.0
132,genhe,50.78,121.52,63.27,92.0,94.0,2.26,CN,1594827812.0
133,vestmannaeyjar,63.44,-20.27,52.29,90.0,100.0,30.09,IS,1594827812.0
134,arraial do cabo,-22.97,-42.03,69.8,68.0,75.0,4.7,BR,1594827812.0
135,camocim,-2.9,-40.84,87.75,52.0,2.0,11.7,BR,1594827728.0
136,norman wells,65.28,-126.83,62.6,67.0,20.0,5.82,CA,1594827812.0
137,kotelnikovo,47.63,43.15,75.36,47.0,14.0,9.69,RU,1594827812.0
138,verkhniy tagil,57.37,59.96,78.78,66.0,51.0,4.99,RU,1594827812.0
139,sawakin,19.11,37.33,91.31,45.0,0.0,7.85,SD,1594827812.0
140,kembolcha,11.08,39.74,73.06,47.0,95.0,5.46,ET,1594827812.0
141,vanimo,-2.67,141.3,78.01,86.0,18.0,4.59,PG,1594827812.0
142,carlagan,14.97,122.05,82.35,82.0,0.0,7.85,PH,1594827812.0
143,calabozo,8.92,-67.43,82.81,83.0,55.0,6.93,VE,1594827812.0
144,itarema,-2.92,-39.92,85.24,60.0,12.0,13.8,BR,1594827812.0
145,baindur,13.87,74.63,77.7,87.0,100.0,3.56,IN,1594827813.0
146,burnie,-41.07,145.92,44.01,75.0,100.0,5.01,AU,1594827732.0
147,los llanos de aridane,28.66,-17.92,77.0,69.0,20.0,17.22,ES,1594827698.0
148,mahebourg,-20.41,57.7,73.4,64.0,40.0,11.41,MU,1594827813.0
149,rawson,-43.3,-65.1,45.27,54.0,25.0,8.41,AR,1594827813.0
150,beloha,-25.17,45.05,64.72,79.0,16.0,9.53,MG,1594827813.0
151,rio gallegos,-51.62,-69.22,30.2,100.0,90.0,8.05,AR,1594827699.0
152,athabasca,54.72,-113.29,63.05,73.0,50.0,13.65,CA,1594827813.0
154,riyadh,24.69,46.72,109.4,18.0,81.0,2.24,SA,1594827569.0
155,catuday,16.29,119.81,83.28,70.0,19.0,2.17,PH,1594827813.0
156,korla,41.76,86.15,84.0,55.0,100.0,4.0,CN,1594827813.0
157,reconquista,-29.15,-59.65,58.03,36.0,0.0,8.57,AR,1594827550.0
159,banes,20.96,-75.72,87.8,66.0,75.0,12.75,CU,1594827813.0
160,ryotsu,38.08,138.43,69.8,100.0,90.0,1.12,JP,1594827813.0
161,nanortalik,60.14,-45.24,42.62,87.0,91.0,5.55,GL,1594827813.0
162,saskylakh,71.92,114.08,71.91,51.0,74.0,13.76,RU,1594827813.0
163,hoquiam,46.98,-123.89,57.0,100.0,90.0,7.56,US,1594827813.0
164,monrovia,6.3,-10.8,80.6,78.0,75.0,11.41,LR,1594827814.0
165,maceio,-9.67,-35.74,82.4,65.0,40.0,10.29,BR,1594827597.0
166,carnarvon,-24.87,113.63,62.6,72.0,40.0,4.7,AU,1594827763.0
167,tasiilaq,65.61,-37.64,46.4,75.0,20.0,8.05,GL,1594827814.0
168,guanica,17.97,-66.91,90.0,52.0,0.0,5.01,PR,1594827814.0
169,armeria,18.93,-103.97,84.2,83.0,75.0,1.92,MX,1594827814.0
170,tiksi,71.69,128.87,36.54,83.0,0.0,11.43,RU,1594827814.0
171,necochea,-38.55,-58.74,51.01,60.0,2.0,7.0,AR,1594827760.0
172,fayaoue,-20.65,166.53,73.51,76.0,0.0,7.78,NC,1594827814.0
173,clyde river,70.47,-68.59,50.0,81.0,20.0,14.99,CA,1594827814.0
175,marzuq,14.4,46.47,84.79,52.0,79.0,20.56,YE,1594827814.0
176,grindavik,63.84,-22.43,51.8,93.0,90.0,21.92,IS,1594827814.0
177,castro,-24.79,-50.01,65.26,61.0,5.0,3.74,BR,1594827814.0
178,tuktoyaktuk,69.45,-133.04,48.2,76.0,90.0,10.29,CA,1594827814.0
179,nome,64.5,-165.41,50.0,87.0,90.0,5.82,US,1594827668.0
180,ilulissat,69.22,-51.1,46.4,75.0,75.0,5.82,GL,1594827814.0
181,lorengau,-2.02,147.27,81.46,69.0,69.0,5.26,PG,1594827815.0
182,cobadin,44.08,28.22,75.2,38.0,20.0,13.87,RO,1594827815.0
183,north platte,41.12,-100.77,64.99,88.0,90.0,12.75,US,1594827690.0
184,naron,43.52,-8.15,68.0,68.0,82.0,16.11,ES,1594827815.0
186,chimbote,-9.09,-78.58,66.97,73.0,68.0,10.8,PE,1594827815.0
187,honiara,-9.43,159.95,75.2,100.0,90.0,4.7,SB,1594827815.0
188,mehamn,71.04,27.85,53.6,76.0,5.0,9.17,NO,1594827815.0
189,bageshwar,29.85,79.77,74.53,77.0,16.0,0.72,IN,1594827815.0
190,ewa beach,21.32,-158.01,75.2,78.0,1.0,5.82,US,1594827815.0
191,hervey bay,-25.3,152.85,53.01,58.0,0.0,4.0,AU,1594827815.0
192,saint george,37.1,-113.58,87.01,11.0,1.0,3.36,US,1594827815.0
193,bondo,3.81,23.69,79.75,74.0,77.0,1.97,CD,1594827815.0
194,izumo,35.37,132.77,69.8,88.0,75.0,5.82,JP,1594827815.0
195,hofn,64.25,-15.21,53.6,87.0,90.0,4.7,IS,1594827815.0
196,gat,31.61,34.76,88.0,32.0,0.0,13.87,IL,1594827815.0
198,zhukovka,53.53,33.73,55.4,93.0,90.0,13.42,RU,1594827815.0
199,lavrentiya,65.58,-171.0,44.35,93.0,100.0,0.49,RU,1594827815.0
200,hibbing,47.43,-92.94,73.4,56.0,1.0,10.29,US,1594827563.0
201,ambilobe,-13.2,49.05,72.01,81.0,56.0,2.21,MG,1594827720.0
202,bani walid,31.76,13.99,98.92,17.0,14.0,9.55,LY,1594827816.0
203,bretigny-sur-orge,48.61,2.31,71.6,49.0,75.0,9.17,FR,1594827816.0
204,rapar,23.57,70.63,86.95,71.0,100.0,21.23,IN,1594827816.0
205,acarau,-2.89,-40.12,85.78,58.0,17.0,13.24,BR,1594827719.0
206,chuy,-33.7,-53.46,50.88,52.0,0.0,2.8,UY,1594827722.0
207,campoverde,-8.48,-74.81,86.0,66.0,75.0,2.24,PE,1594827816.0
208,dzerzhinskoye,56.83,95.23,56.07,57.0,27.0,7.05,RU,1594827816.0
209,namibe,-15.2,12.15,70.32,80.0,1.0,10.51,AO,1594827816.0
210,avarua,-21.21,-159.78,68.0,60.0,100.0,3.36,CK,1594827653.0
211,aubenas,44.62,4.39,75.0,60.0,91.0,13.87,FR,1594827816.0
212,rincon de la victoria,36.72,-4.28,84.99,58.0,31.0,8.05,ES,1594827816.0
213,saint anthony,45.02,-93.22,77.0,56.0,1.0,3.36,US,1594827816.0
214,puerto ayora,-0.74,-90.35,69.01,90.0,76.0,5.99,EC,1594827607.0
216,kavieng,-2.57,150.8,80.94,71.0,25.0,2.1,PG,1594827816.0
217,resistencia,-27.46,-58.98,55.99,53.0,30.0,4.0,AR,1594827816.0
218,erenhot,43.65,111.98,83.53,28.0,83.0,8.7,CN,1594827765.0
219,valparaiso,-33.04,-71.63,48.2,100.0,90.0,5.82,CL,1594827816.0
220,ribeira brava,32.65,-17.07,75.0,72.0,4.0,3.0,PT,1594827816.0
221,ribeira grande,38.52,-28.7,73.4,69.0,40.0,17.22,PT,1594827817.0
222,kirakira,-10.45,161.92,77.68,82.0,99.0,6.11,SB,1594827817.0
223,frome,51.23,-2.32,63.0,79.0,96.0,1.01,GB,1594827817.0
224,pitimbu,-7.47,-34.81,82.4,69.0,75.0,13.87,BR,1594827641.0
225,axim,4.87,-2.24,77.97,70.0,54.0,11.01,GH,1594827817.0
226,taoudenni,22.68,-3.98,112.48,11.0,46.0,15.75,ML,1594827817.0
227,beitbridge,-22.22,30.0,60.01,34.0,0.0,11.5,ZW,1594827817.0
228,bahia blanca,-38.72,-62.27,52.92,47.0,0.0,4.7,AR,1594827817.0
229,khudumelapye,-23.88,24.75,51.82,35.0,0.0,7.56,BW,1594827817.0
230,otorohanga,-38.18,175.2,51.01,79.0,100.0,5.01,NZ,1594827817.0
231,port elizabeth,-33.92,25.57,57.2,54.0,10.0,5.82,ZA,1594827524.0
232,saint-georges,12.06,-61.75,86.0,74.0,20.0,18.34,GD,1594827817.0
233,tabuk,17.42,121.44,75.47,88.0,3.0,1.97,PH,1594827817.0
234,palmer,42.16,-72.33,73.0,68.0,90.0,3.36,US,1594827817.0
235,dudinka,69.41,86.18,50.0,81.0,75.0,6.71,RU,1594827817.0
236,lieksa,63.32,30.02,65.07,60.0,100.0,3.98,FI,1594827817.0
237,bathsheba,13.22,-59.52,87.8,62.0,40.0,12.75,BB,1594827817.0
238,nova olimpia,-14.8,-57.29,95.02,27.0,20.0,5.1,BR,1594827818.0
239,saldanha,-33.01,17.94,64.4,36.0,0.0,3.36,ZA,1594827818.0
240,provideniya,64.38,-173.3,46.99,92.0,100.0,3.22,RU,1594827818.0
241,lafiagi,8.87,5.42,81.64,82.0,100.0,5.14,NG,1594827818.0
242,nago,26.59,127.98,84.2,83.0,75.0,13.87,JP,1594827818.0
243,jiuquan,39.74,98.52,78.6,31.0,84.0,8.01,CN,1594827818.0
244,northam,51.03,-4.22,62.01,81.0,76.0,5.99,GB,1594827818.0
245,sahy,48.07,18.95,80.01,37.0,98.0,1.01,SK,1594827818.0
246,atar,20.52,-13.05,107.65,11.0,0.0,12.06,MR,1594827818.0
247,coquimbo,-29.95,-71.34,50.0,87.0,90.0,4.7,CL,1594827543.0
248,jequitinhonha,-16.43,-41.0,84.0,40.0,37.0,6.15,BR,1594827818.0
249,kemin,42.78,75.69,66.02,41.0,30.0,5.06,KG,1594827818.0
250,yerbogachen,61.28,108.01,58.28,91.0,100.0,8.21,RU,1594827729.0
251,dalby,-27.18,151.27,46.0,77.0,0.0,3.0,AU,1594827818.0
252,belmonte,-15.86,-38.88,80.6,69.0,40.0,5.82,BR,1594827818.0
253,taylor,32.3,-99.83,87.01,51.0,75.0,13.87,US,1594827703.0
254,brae,60.4,-1.35,55.4,82.0,40.0,6.93,GB,1594827818.0
255,takoradi,4.88,-1.76,78.76,70.0,28.0,13.47,GH,1594827819.0
256,sabha,27.04,14.43,99.48,13.0,0.0,11.95,LY,1594827819.0
257,langen,49.99,8.67,77.0,40.0,68.0,10.29,DE,1594827819.0
258,kilindoni,-7.91,39.67,77.45,75.0,0.0,17.0,TZ,1594827749.0
259,walvis bay,-22.96,14.51,93.2,6.0,0.0,5.82,NA,1594827805.0
260,richards bay,-28.78,32.04,59.0,67.0,30.0,9.04,ZA,1594827819.0
261,ninghai,29.29,121.42,81.0,99.0,99.0,2.91,CN,1594827819.0
262,corralillo,22.98,-80.59,86.02,70.0,99.0,11.36,CU,1594827819.0
263,qom,34.64,50.88,92.14,18.0,0.0,11.65,IR,1594827819.0
264,victoria,22.29,114.16,86.0,70.0,99.0,10.0,HK,1594827607.0
265,cayenne,4.93,-52.33,86.0,58.0,0.0,5.82,GF,1594827819.0
266,maragogi,-9.01,-35.22,79.72,72.0,23.0,9.86,BR,1594827553.0
267,chokurdakh,70.63,147.92,36.32,88.0,100.0,12.68,RU,1594827819.0
268,inhambane,-23.86,35.38,68.0,56.0,8.0,14.0,MZ,1594827819.0
269,vityazevo,44.99,37.27,78.8,36.0,24.0,11.18,RU,1594827819.0
270,kavaratti,10.57,72.64,83.28,79.0,100.0,17.78,IN,1594827819.0
271,kahului,20.89,-156.47,77.0,69.0,1.0,11.41,US,1594827606.0
272,itoman,26.12,127.67,84.2,89.0,75.0,20.8,JP,1594827756.0
273,masindi,1.67,31.71,68.13,91.0,76.0,2.01,UG,1594827819.0
274,zhigansk,66.77,123.37,61.7,59.0,67.0,5.88,RU,1594827755.0
275,hienghene,-20.68,164.93,68.18,80.0,30.0,9.26,NC,1594827819.0
276,olafsvik,64.89,-23.71,50.14,93.0,100.0,12.55,IS,1594827820.0
277,oktyabrskiy,54.48,53.47,78.91,72.0,0.0,2.71,RU,1594827820.0
278,kaitangata,-46.28,169.85,42.01,90.0,50.0,3.51,NZ,1594827700.0
279,padang,-0.95,100.35,79.36,78.0,9.0,5.48,ID,1594827820.0
280,sola,-13.88,167.55,73.4,94.0,20.0,6.93,VU,1594827820.0
281,verkhnyaya inta,65.98,60.31,54.88,84.0,95.0,17.09,RU,1594827820.0
282,bilma,18.69,12.92,104.02,16.0,9.0,12.1,NE,1594827820.0
283,karratha,-20.74,116.85,64.99,67.0,0.0,4.54,AU,1594827820.0
284,san andres,12.58,-81.7,84.2,83.0,75.0,12.75,CO,1594827774.0
285,inirida,3.87,-67.92,80.65,85.0,58.0,4.03,CO,1594827820.0
286,port lincoln,-34.73,135.87,53.44,84.0,1.0,8.48,AU,1594827747.0
287,bairiki,1.33,172.98,82.4,83.0,40.0,3.36,KI,1594827820.0
288,tuatapere,-46.13,167.68,39.0,83.0,90.0,3.0,NZ,1594827820.0
289,vilhena,-12.74,-60.15,88.72,27.0,1.0,7.18,BR,1594827820.0
290,cumana,10.46,-64.18,84.2,74.0,8.0,14.99,VE,1594827820.0
291,houma,29.6,-90.72,91.99,66.0,40.0,4.7,US,1594827600.0
292,challans,46.84,-1.87,71.6,56.0,90.0,10.29,FR,1594827821.0
293,shu,43.6,73.76,79.88,28.0,0.0,10.18,KZ,1594827821.0
294,ignatovka,53.95,47.65,72.27,71.0,98.0,8.14,RU,1594827821.0
297,narsaq,60.92,-46.05,53.6,66.0,75.0,5.82,GL,1594827821.0
298,makakilo city,21.35,-158.09,75.2,78.0,1.0,5.82,US,1594827821.0
299,la tuque,47.43,-72.78,74.19,43.0,0.0,5.55,CA,1594827821.0
300,viedma,-40.81,-63.0,48.38,52.0,76.0,10.69,AR,1594827821.0
301,thompson,55.74,-97.86,60.8,96.0,90.0,14.99,CA,1594827590.0
302,arman,59.7,150.17,52.99,92.0,31.0,1.59,RU,1594827821.0
